"Observações"	"Grupos"	"Famílias"	"Taxon Rank"	"Espécies"	"Origem"	"Categoria de Ameaça IUCN"	"Campo Vazio"	"Identificador"	"CatalogNumber"	"OtherCatalogNumbers"	"Herbário"	"GBIF ID"	"Coletor"	"No. coleta"	"Ano de coleta"	"Mês"	"Dia"	"Determinador"	"Estado"	"Município"	"Localidade"	"Latitude"	"Longitude"	"Ocorre em SP segundo Flora 2020?"	"Endemica de SP segundo Flora 2020?"	"cont.spp"	"cont.id"	"Prioritarias_conservacao"	"concat.code"
""	"Angiopermas"	"Malvaceae"	"ESPECIE"	"Triumfetta semitriloba Jacq."	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:06116"	"06116"	""	"SPSF"	1086875834	"J.B.Baitello"	"0"	1981	2	11	""	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"6"	"4"	""	"19812110"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Myrcia neoriedeliana E.Lucas & C.E.Wilson"	""	"LC"	NA	"BRA:IF:SPSF:06177"	"06177"	""	"SPSF"	1086875839	"A.Custodio Filho & A.C.Dias"	"269"	1980	7	12	"K.Matsumoto"	"Sp"	"Cunha"	"Parque Estadual da Serra do Mar, N<fa>cleo Cunha-Indai<e1>"	0	0	0	0	"4"	"1"	""	"1980712269"
""	"Angiopermas"	"Asteraceae"	"ESPECIE"	"Pentacalia desiderabilis (Vell.) Cuatrec."	"NATIVA"	""	NA	"BRA:IF:SPSF:06173"	"06173"	""	"SPSF"	1086875844	"A.Custodio Filho & A.C.Dias"	"259"	1980	7	7	"M.E.Monge"	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"5"	"1"	""	"198077259"
""	"Angiopermas"	"Violaceae"	"ESPECIE"	"Viola cerasifolia A.St.-Hil."	"NATIVA"	""	NA	"BRA:IF:SPSF:06184"	"06184"	""	"SPSF"	1086875848	"K.Kubitzki"	"81-5"	1981	2	1	"J.P.Souza"	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"3"	"1"	""	"19812181-5"
""	"Angiopermas"	"Celastraceae"	"ESPECIE"	"Monteverdia cestrifolia (Reissek) Biral"	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:06157"	"06157"	""	"SPSF"	1086875849	"A.Custodio Filho & A.C.Dias"	"276"	1980	7	12	"I.S. Marques"	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"2"	"1"	""	"1980712276"
""	"Angiopermas"	"Malvaceae"	"ESPECIE"	"Luehea grandiflora Mart."	"NATIVA"	""	NA	"BRA:IF:SPSF:06175"	"06175"	""	"SPSF"	1086875850	"A.Custodio Filho & A.C.Dias"	"295"	1980	8	11	""	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"1"	"1"	""	"1980811295"
""	"Angiopermas"	"Solanaceae"	"ESPECIE"	"Solanum argenteum Dunal"	"NATIVA"	""	NA	"BRA:IF:SPSF:06159"	"06159"	""	"SPSF"	1086875851	"A.Custodio Filho & A.C.Dias"	"284"	1980	7	12	""	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"4"	"1"	""	"1980712284"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Solanaceae"	"ESPECIE"	"Solanum swartzianum Roem. & Schult."	""	""	NA	"BRA:IF:SPSF:06159"	"06159"	""	"SPSF"	1086875851	"A.Custodio Filho & A.C.Dias"	"284"	1980	7	12	""	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	0	0	"7"	"2"	""	"1980712284"
""	"Angiopermas"	"Phytolaccaceae"	"ESPECIE"	"Phytolacca thyrsiflora Fenzl. ex J.A.Schmidt"	"NATIVA"	""	NA	"BRA:IF:SPSF:06149"	"06149"	""	"SPSF"	1086875852	"A.Custodio Filho & A.C.Dias"	"254"	1980	7	12	""	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"1"	"1"	""	"1980712254"
""	"Angiopermas"	"Solanaceae"	"ESPECIE"	"Solanum campaniforme Roem. & Schult."	"NATIVA"	""	NA	"BRA:IF:SPSF:06168"	"06168"	""	"SPSF"	1086875854	"A.Custodio Filho & A.C.Dias"	"265"	1980	7	9	"L.L.Giacomin"	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"6"	"1"	""	"198079265"
""	"Angiopermas"	"Lauraceae"	"ESPECIE"	"Aniba firmula (Nees & Mart.) Mez"	"NATIVA"	""	NA	"BRA:IF:SPSF:06191"	"06191"	""	"SPSF"	1086875855	"K.Kubitzki & A.C.Dias & J.B.Baitello"	"81-21"	1981	2	13	"J.B.Baitello"	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"8"	"1"	""	"198121381-21"
""	"Angiopermas"	"Apocynaceae"	"ESPECIE"	"Oxypetalum insigne (Decne.) Malme"	"NATIVA"	""	NA	"BRA:IF:SPSF:06158"	"06158"	""	"SPSF"	1086875856	"A.Custodio Filho & A.C.Dias"	"281"	1980	7	8	"M.A.Farinaccio"	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"2"	"1"	""	"198078281"
""	"Angiopermas"	"Rubiaceae"	"ESPECIE"	"Rudgea nobilis Müll.Arg."	"NATIVA"	""	NA	"BRA:IF:SPSF:06153"	"06153"	""	"SPSF"	1086875859	"A.Custodio Filho & A.C.Dias"	"274"	1980	7	10	"D.Zappi"	"Sp"	"Cunha"	"Parque Estadual da Serra do Mar"	0	0	1	0	"1"	"1"	""	"1980710274"
""	"Angiopermas"	"Sapindaceae"	"ESPECIE"	"Serjania multiflora Cambess."	"NATIVA"	""	NA	"BRA:IF:SPSF:06170"	"06170"	""	"SPSF"	1086875865	"A.Custodio Filho & A.C.Dias"	"251"	1980	7	9	""	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"1"	"1"	""	"198079251"
